user_id,book_id,rating
1,13835,5
1,4674,4
1,44520,5
1,21784,4
1,34153,4
1,4662,4
1,22283,5
1,23352,3
1,3564,4
1,19164,5
1,6069,4
1,7034,4
1,14535,2
2,9489,5
2,5595,3
2,22176,5
2,33538,3
2,18073,5
2,17149,5
2,13148,2
2,45557,5
2,10656,5
2,8586,5
2,17533,5
2,22835,3
2,30055,4
2,11279,3
3,17619,3
3,23793,5
3,5910,5
3,10867,4
3,43394,5
3,18500,5
3,35308,4
3,22238,3
3,25806,2
3,24337,3
3,29129,5
3,44030,5
3,15437,4
3,32741,4
3,18849,2
4,36064,4
4,16299,3
4,32181,3
4,39177,5
4,26438,4
4,13925,3
4,41651,5
4,43461,5
4,39201,4
4,5813,3
4,39541,4
4,15562,3
4,16593,4
4,35108,3
4,9602,5
4,19593,2
4,21505,3
5,2371,5
5,9349,3
5,41536,4
5,15241,2
5,3304,4
5,9816,3
5,7586,5
5,7968,5
5,16544,5
5,2093,5
5,10713,5
6,4601,4
6,2019,3
6,25772,4
6,1664,5
6,27800,4
6,28691,5
6,5497,4
6,7348,5
6,43377,4
6,34050,4
6,4360,5
6,23219,5
6,24432,3
6,22431,4
6,11434,3
7,27580,3
7,19333,4
7,32213,5
7,29526,5
7,10029,5
7,45030,4
7,5595,4
7,42625,3
7,1805,5
7,35543,4
7,38633,5
7,9014,3
7,8971,4
7,30245,5
8,14106,3
8,25016,4
8,16734,3
8,43344,3
8,3695,3
8,26189,5
8,8520,5
8,27599,5
8,43166,4
8,31389,5
8,5809,5
8,8213,2
8,14427,3
9,4382,3
9,19847,4
9,43988,4
9,29845,3
9,39099,5
9,17255,4
9,40526,3
9,19406,3
9,31182,3
9,14056,5
9,7529,5
9,11138,3
9,26908,5
9,6974,4
9,22307,4
9,41361,4
9,22584,4
9,2156,4
9,30067,5
9,12855,4
9,44469,5
9,44891,2
10,21182,3
10,38592,3
10,22304,3
10,13965,5
10,24244,5
10,26009,5
10,11890,5
10,12571,4
10,41261,2
10,14851,4
10,31839,4
10,22632,4
11,14566,3
11,40214,4
11,43993,5
11,17275,5
11,2933,5
11,9122,4
11,3872,5
11,7201,4
11,17610,4
11,13161,5
11,12683,4
11,37902,3
11,21071,5
11,4241,4
11,8,5
11,24221,5
12,28699,2
12,13594,4
12,25016,5
12,32501,5
12,42369,4
12,13630,3
12,599,4
12,33735,3
12,37435,5
12,33046,4
12,31894,4
12,2781,4
12,6751,3
13,13890,2
13,29966,5
13,39724,2
13,29976,3
13,25084,5
13,1999,4
13,22348,4
13,38466,2
13,9595,4
13,41490,5
13,362,4
13,15497,4
13,44824,4
13,16542,4
13,29022,4
14,7965,4
14,6693,4
14,15578,5
14,5907,4
14,44184,4
14,35149,3
14,32453,3
14,8860,4
14,22877,5
14,41814,4
14,8162,4
14,31030,3
14,2815,3
14,34407,2
14,37211,4
14,31088,4
14,34435,5
14,39662,2
15,19075,3
15,40573,4
15,1377,4
15,37170,3
15,23293,4
15,1891,5
15,21996,4
15,3837,4
15,19193,4
15,44919,5
15,16464,3
15,29976,2
15,24594,5
16,902,4
16,34515,4
16,18215,3
16,9913,4
16,21107,4
16,3870,5
16,29941,4
16,34646,5
16,27689,5
16,8586,2
16,5204,3
16,29257,5
16,7360,4
16,13066,3
16,23790,5
16,22148,3
16,16713,4
16,44184,5
16,9435,2
17,7749,4
17,4887,4
17,32155,5
17,36434,4
17,29173,3
17,29129,4
17,41864,5
17,17883,4
17,31153,3
17,41404,4
17,21621,5
17,35886,4
17,41538,4
17,15902,4
17,45564,3
17,23848,2
18,38313,5
18,42694,5
18,13314,4
18,37264,4
18,25065,4
18,38473,3
18,8525,2
18,678,5
18,35896,5
18,24065,4
18,17067,4
18,10370,5
18,1377,4
18,23224,4
18,40328,4
18,25,4
18,14964,4
18,35268,3
18,40573,3
18,21756,4
18,23774,5
19,10270,3
19,6366,5
19,7252,3
19,13620,3
19,15430,3
19,11019,4
19,880,4
19,90,4
19,4677,4
19,8960,3
20,40536,5
20,24781,3
20,38333,4
20,40473,4
20,13547,2
20,16205,4
20,23221,5
20,37698,4
20,162,5
20,42622,4
20,15049,4
20,19312,4
20,24598,3
20,12540,4
20,8290,4
21,32880,4
21,7788,4
21,45348,4
21,2552,4
21,7733,3
21,11075,4
21,9789,5
21,34443,4
21,31181,5
21,14899,3
21,11766,3
21,2078,4
21,41506,5
21,868,4
21,14367,5
21,6152,4
22,30362,3
22,33144,5
22,13584,4
22,43058,4
22,11225,3
22,23710,3
22,30397,5
22,43132,2
22,16813,5
22,9950,5
22,7076,4
22,17697,3
22,14194,4
22,3636,4
22,35903,4
22,5698,5
23,13876,5
23,7891,5
23,33809,2
23,27585,4
23,10663,5
23,40385,4
23,22114,5
23,22542,5
23,10932,4
23,23293,3
24,19670,2
24,12932,5
24,15735,5
24,11178,3
24,27787,4
24,16593,3
24,3738,4
24,31695,4
24,16967,5
24,23837,2
24,19066,4
24,22736,4
24,35499,2
24,18825,2
25,30165,3
25,16301,5
25,44046,5
25,41863,3
25,23410,4
25,24614,4
25,18849,4
25,12881,5
25,29253,3
25,11101,4
25,28004,4
25,27827,4
26,19108,3
26,11922,4
26,21779,5
26,29526,4
26,31227,4
26,1449,4
26,14836,4
26,22991,3
26,8077,4
26,11231,2
26,37395,5
26,45449,3
27,43527,4
27,35882,5
27,35926,2
27,29251,2
27,20692,5
27,12210,4
27,16569,5
27,39097,4
27,18246,5
27,29043,4
27,31974,3
28,27514,5
28,19243,5
28,2962,3
28,9742,2
28,24309,3
28,4248,5
28,11372,5
28,31442,5
28,26475,3
28,12240,4
28,15731,5
28,16051,2
28,11277,5
28,25045,5
29,1896,5
29,40790,4
29,19083,3
29,41611,3
29,32453,4
29,42612,5
29,3298,3
29,12263,5
29,21362,4
29,18257,4
29,13964,4
29,34318,3
29,9863,5
30,29367,5
30,28561,3
30,19802,5
30,25106,5
30,16315,3
30,29734,3
30,15719,3
30,14142,4
30,19428,4
30,13621,5
30,2373,3
30,22803,5
30,14905,4
30,19571,4
30,27413,4
30,12290,4
30,32572,5
30,5354,4
30,6483,3
31,2281,5
31,20810,2
31,10585,5
31,30633,5
31,44524,4
31,117,4
31,4817,4
31,14194,4
31,32854,4
31,27208,5
31,43074,5
31,30982,3
31,26996,5
31,33973,3
31,2958,5
31,31819,5
32,28631,4
32,2851,2
32,2343,3
32,38669,3
32,26292,4
32,12950,5
32,29964,5
32,16501,5
32,19384,3
32,18380,4
32,36063,3
32,37678,3
32,17747,3
32,10620,2
32,43939,4
32,14264,4
32,19172,4
32,18910,1
32,32589,5
32,26472,3
32,11130,2
32,22374,4
32,34899,4
32,42158,5
32,29378,5
33,33279,4
33,6483,4
33,25244,4
33,3577,4
33,5419,5
33,21933,4
33,7807,5
33,5848,4
33,39397,4
33,6069,5
33,9920,4
33,29394,4
33,10968,4
33,32414,4
33,27252,4
34,19593,5
34,32961,3
34,26175,5
34,17607,5
34,2319,4
34,37380,4
34,12651,4
34,36438,5
34,2411,4
34,18333,5
34,163,3
34,32138,5
34,7779,3
34,1242,3
34,29500,4
34,7524,4
34,24777,5
34,11772,4
34,25,4
34,6089,5
34,14169,3
35,14770,2
35,31864,4
35,30593,5
35,3853,3
35,14841,4
35,11768,5
35,2228,4
35,39889,3
35,1646,3
35,12958,5
35,8834,3
35,22338,4
36,31822,5
36,7717,5
36,19295,3
36,19182,4
36,38466,3
36,17334,5
36,702,3
36,30981,4
36,6245,3
36,7668,4
36,17319,5
36,28061,5
36,43377,4
37,8814,4
37,35547,5
37,42429,5
37,43335,3
37,40425,5
37,2506,4
37,3471,4
37,5255,5
37,20071,4
38,24096,3
38,21063,4
38,23515,5
38,31082,4
38,1869,3
38,2567,5
39,24777,4
39,25789,4
39,29919,4
39,29129,2
39,18405,3
39,27798,4
39,10308,2
39,13821,4
39,32668,2
39,40483,4
39,37477,4
39,17743,4
39,11993,5
39,39784,4
39,9666,4
39,28866,3
39,36775,4
40,14948,3
40,43230,3
40,4593,4
40,44824,4
40,41258,5
40,25589,2
40,28716,5
40,18833,4
40,3011,5
40,29905,4
40,16021,4
40,38522,5
40,32640,4
40,39872,5
40,40958,3
40,29806,4
40,23774,3
40,2940,4
40,41111,4
40,21294,5
40,8153,3
40,9534,3
40,5851,5
41,9051,4
41,17950,5
41,23581,5
41,33492,3
41,24597,3
41,2895,3
41,1846,3
41,15592,4
41,2219,4
41,6339,5
42,27577,3
42,14891,5
42,21717,3
42,25880,3
42,16477,5
42,32592,4
42,264,3
42,45399,4
43,13100,4
43,80,3
43,12186,5
43,42662,1
43,35108,4
43,18762,4
43,17202,3
43,42698,4
43,37952,4
43,22230,5
43,214,3
43,16670,4
43,17280,3
43,7811,2
43,21214,4
43,30067,4
43,32703,3
43,28388,1
43,18547,4
44,38667,3
44,26130,5
44,16790,4
44,18564,4
44,30923,5
44,33544,4
44,7781,4
44,29561,5
44,703,4
44,28193,5
44,40795,5
44,12853,3
44,27345,5
44,12840,5
44,28524,4
44,13258,3
44,23404,3
44,3765,5
44,44851,4
44,21703,5
45,21060,4
45,29823,5
45,30397,4
45,22826,4
45,14462,3
45,21187,4
45,14240,4
45,28747,5
45,21143,5
45,9577,5
46,13954,5
46,31229,4
46,4991,4
46,21720,4
46,25083,4
46,19165,3
46,25177,5
46,44446,4
46,16181,5
46,11290,4
46,12445,3
47,9931,5
47,1111,3
47,19172,3
47,15101,2
47,1814,3
47,23239,5
47,7610,3
47,7909,4
47,21495,4
47,43376,2
47,39904,5
47,2057,4
47,22883,4
47,5777,3
47,17228,3
47,28358,2
47,20174,3
47,37231,4
47,19673,5
47,26759,3
48,25779,4
48,5736,5
48,3758,5
48,32609,4
48,22197,5
48,44976,5
48,13337,4
48,14031,4
48,42634,4
48,37815,3
48,24769,3
48,5552,5
48,2112,4
48,11178,5
48,446,3
48,33439,4
48,24040,5
48,28249,4
48,33993,3
48,44446,4
48,20351,5
48,3532,2
48,12947,3
48,28212,3
48,18241,3
48,17926,5
48,41342,3
49,21703,5
49,24964,4
49,5396,4
49,10581,3
49,31917,1
49,33559,5
49,22576,4
49,3682,3
49,37952,5
49,10655,4
49,14312,4
49,22583,4
49,3388,5
49,14867,4
49,41903,4
49,15082,4
49,29091,4
50,18683,5
50,7769,4
50,39685,4
50,43704,5
50,13162,5
50,13577,5
50,29093,3
51,22460,4
51,9507,4
51,24749,5
51,29478,5
51,16340,5
51,19180,4
51,35115,2
51,5875,5
52,3826,4
52,19802,4
52,16186,5
52,36422,3
52,14461,5
52,6536,3
52,77,4
52,21031,4
52,37240,3
52,864,4
52,41336,5
52,38803,4
52,18374,5
52,21845,4
52,6899,3
52,43437,3
53,11752,5
53,31997,5
53,24050,4
53,44866,4
53,20661,4
53,18122,5
53,19433,4
53,32106,3
53,42278,4
53,24955,3
54,5800,5
54,16301,4
54,34296,3
54,11519,4
54,37105,4
54,37277,5
55,20949,4
55,9,4
55,44170,3
55,33546,2
55,17873,5
55,43407,3
55,35428,3
55,4945,4
55,13541,4
56,33956,5
56,678,4
56,16716,4
56,33543,3
56,16919,5
56,2673,3
56,13661,5
56,35760,4
56,5528,4
56,12172,5
56,16918,4
57,23582,4
57,39541,5
57,9639,4
57,34908,4
57,10965,5
57,15318,3
57,22649,4
57,36128,4
57,12905,3
57,40359,4
57,16477,4
57,16268,3
57,11996,5
58,13860,4
58,24914,4
58,7958,5
58,6524,3
